Año,Mes,Asset Code,N° Noches,N° Pasajeros,Mascota,Canal de Venta,Precio x Noche,Precio [$CLP] IVA Inc,Tax Booking,Clean Up,IVA 19%,Precio [$CLP] Neto,Medio de Pago,Boleta/Factura,Pago en USD
2022,Agosto,C1,3,3,0,Booking,198016.0,594048.0,82992.00000000001,25000,94848.0,499200.0,TEF,BOL,1
2022,Agosto,C1,1,5,0,Booking,127568.0,127568.0,17822.0,25000,20368.0,107200.0,TEF,BOL,1
2022,Agosto,C1,2,4,0,Booking,194208.0,388416.0,54264.00000000001,25000,62016.0,326400.0,TEF,BOL,1
2022,Agosto,C1,3,3,0,Booking,142800.0,428400.0,59850.00000000001,25000,68400.0,360000.0,TEF,BOL,1
2022,Septiembre,C1,4,6,1,Airbnb,170000.0,680000.0,24275.999999999996,25000,108571.42857142858,571428.5714285715,TEF,BOL,0
2022,Septiembre,C1,2,3,0,Booking,145656.0,291312.0,40698.0,25000,46512.0,244800.0,TEF,BOL,1
2022,Septiembre,C1,2,5,0,Booking,127568.0,255136.0,35644.0,25000,40736.0,214400.0,TEF,BOL,1
2022,Septiembre,C1,2,4,0,Booking,237048.0,474096.0,66234.00000000001,25000,75696.0,398400.0,TEF,BOL,1
2022,Septiembre,C1,1,5,1,Booking,113288.00000000001,113288.00000000001,15827.000000000004,25000,18088.000000000004,95200.00000000001,TEF,BOL,1
2022,Septiembre,C1,2,5,0,Airbnb,104000.0,208000.0,7425.599999999999,25000,33210.08403361345,174789.91596638656,TEF,BOL,0
2022,Octubre,C1,1,4,0,Venta Directa,80000.0,80000.0,0.0,25000,12773.10924369748,67226.89075630253,TEF,BOL,0
2022,Octubre,C1,2,7,0,Venta Directa,120000.0,240000.0,0.0,25000,38319.32773109244,201680.67226890757,TEF,BOL,0
2022,Octubre,C1,2,6,0,Booking,113288.00000000001,226576.00000000003,31654.000000000007,25000,36176.00000000001,190400.00000000003,TEF,BOL,1
2022,Octubre,C1,2,6,1,Venta Directa,105950.0,211900.0,0.0,25000,33832.7731092437,178067.2268907563,TEF,BOL,0
2022,Octubre,C1,4,4,0,Venta Directa,87500.0,350000.0,0.0,25000,55882.352941176476,294117.64705882355,TEF,BOL,0
2022,Noviembre,C1,2,6,0,Airbnb,100000.0,200000.0,7139.999999999999,25000,31932.7731092437,168067.2268907563,TEF,BOL,0
2022,Noviembre,C1,3,4,0,Booking,105672.0,317016.0,44289.00000000001,25000,50616.0,266400.0,TEF,BOL,1
2022,Noviembre,C1,1,4,0,Venta Directa,70000.0,70000.0,0.0,25000,11176.470588235294,58823.529411764706,TEF,BOL,0
2022,Diciembre,C1,1,2,0,Booking,78064.0,78064.0,10906.0,25000,12464.0,65600.0,TEF,BOL,1
2022,Diciembre,C1,2,5,0,Venta Directa,80000.0,160000.0,0.0,25000,25546.21848739496,134453.78151260506,TEF,BOL,0
2022,Diciembre,C1,4,6,1,Airbnb,95484.0,381936.0,13635.115199999998,25000,60981.378151260506,320954.6218487395,TEF,BOL,0
2022,Diciembre,C1,1,5,0,Airbnb,85000.0,85000.0,3034.4999999999995,25000,13571.428571428572,71428.57142857143,TEF,BOL,0
2022,Diciembre,C1,1,6,0,Booking,86632.0,86632.0,12103.000000000004,25000,13832.0,72800.0,TEF,BOL,1
2023,Enero,C1,1,4,0,Venta Directa,100000.0,100000.0,0.0,0,15966.38655462185,84033.61344537816,TEF,BOL,0
2023,Enero,C1,2,5,0,Venta Directa,100000.0,200000.0,0.0,0,31932.7731092437,168067.2268907563,TEF,BOL,0
2023,Enero,C2,4,9,0,Venta Directa,100000.0,400000.0,0.0,0,63865.5462184874,336134.4537815126,TEF,BOL,0
2023,Enero,C1,2,6,0,Venta Directa,80000.0,160000.0,0.0,0,25546.21848739496,134453.78151260506,TEF,BOL,0
2023,Enero,C2,2,8,0,Venta Directa,100000.0,200000.0,0.0,0,31932.7731092437,168067.2268907563,TEF,BOL,0
2023,Enero,C1,1,5,0,Airbnb,75000.0,75000.0,2677.4999999999995,0,11974.789915966387,63025.21008403361,TEF,BOL,0
2023,Enero,C1,2,3,0,Venta Directa,60000.0,120000.0,0.0,0,19159.66386554622,100840.33613445378,TEF,BOL,0
2023,Enero,C2,1,3,0,Airbnb,90000.0,90000.0,3212.9999999999995,0,14369.747899159665,75630.25210084034,TEF,BOL,0
2023,Enero,C2,2,7,0,Venta Directa,100000.0,200000.0,0.0,0,31932.7731092437,168067.2268907563,TEF,BOL,0
2023,Enero,C2,2,6,0,Airbnb,104000.0,208000.0,7425.599999999999,0,33210.08403361345,174789.91596638656,TEF,BOL,0
2023,Enero,C1,1,5,0,Booking,103768.0,103768.0,14497.000000000004,0,16568.0,87200.0,TEF,BOL,1
2023,Enero,C2,1,7,0,Airbnb,82000.0,82000.0,2927.3999999999996,0,13092.436974789916,68907.56302521008,TEF,BOL,0
2023,Enero,C2,1,4,0,Venta Directa,100000.0,100000.0,0.0,0,15966.38655462185,84033.61344537816,TEF,BOL,0
2023,Febrero,C2,2,4,0,Venta Directa,100000.0,200000.0,0.0,0,31932.7731092437,168067.2268907563,TEF,BOL,0
2023,Febrero,C1,2,6,0,Booking,107576.0,215152.0,30058.000000000004,0,34352.0,180800.0,TEF,BOL,1
2023,Febrero,C2,2,7,0,Venta Directa,120000.0,240000.0,0.0,0,38319.32773109244,201680.67226890757,TEF,BOL,0
2023,Febrero,C1,5,3,0,Booking,103958.4,519792.0,72618.00000000001,0,82992.0,436800.0,TEF,BOL,1
2023,Febrero,C2,1,6,0,Venta Directa,80000.0,80000.0,0.0,0,12773.10924369748,67226.89075630253,TEF,BOL,0
2023,Febrero,C2,1,3,0,Venta Directa,80000.0,80000.0,0.0,0,12773.10924369748,67226.89075630253,TEF,BOL,0
2023,Febrero,C2,2,4,0,Venta Directa,80000.0,160000.0,0.0,0,25546.21848739496,134453.78151260506,TEF,BOL,0
2023,Febrero,C1,1,3,0,Booking,80920.0,80920.0,11305.000000000004,0,12920.0,68000.0,TEF,BOL,1
2023,Febrero,C1,3,7,0,Venta Directa,100000.0,300000.0,0.0,0,47899.15966386555,252100.84033613445,TEF,BOL,0
2023,Febrero,C2,1,5,0,Booking,93296.0,93296.0,13034.000000000002,0,14896.0,78400.0,TEF,BOL,1
2023,Febrero,C2,3,4,1,Venta Directa,80000.0,240000.0,0.0,0,38319.32773109244,201680.67226890757,TEF,BOL,0
2023,Febrero,C1,2,3,0,Venta Directa,60000.0,120000.0,0.0,0,19159.66386554622,100840.33613445378,TEF,BOL,0
2023,Febrero,C1,2,4,0,Venta Directa,65000.0,130000.0,0.0,0,20756.302521008405,109243.6974789916,TEF,BOL,0
2023,Febrero,C2,3,4,0,Venta Directa,100000.0,300000.0,0.0,0,47899.15966386555,252100.84033613445,TEF,BOL,0
2023,Febrero,C1,2,2,0,Venta Directa,105000.0,210000.0,0.0,0,33529.41176470588,176470.58823529413,TEF,BOL,0
2023,Marzo,C1,1,3,0,Venta Directa,60000.0,60000.0,0.0,0,9579.83193277311,50420.16806722689,TEF,BOL,0
2023,Marzo,C1,1,3,0,Venta Directa,80000.0,80000.0,0.0,0,12773.10924369748,67226.89075630253,TEF,BOL,0
2023,Marzo,C1,1,3,0,Airbnb,60000.0,60000.0,2141.9999999999995,0,9579.83193277311,50420.16806722689,TEF,BOL,0
2023,Marzo,C2,2,6,1,Booking,89964.0,179928.0,25137.0,0,28728.0,151200.0,TEF,BOL,1
2023,Marzo,C1,2,5,1,Booking,72828.0,145656.0,20349.0,0,23256.0,122400.0,TEF,BOL,1
2023,Marzo,C1,2,5,0,Airbnb,70000.0,140000.0,4997.999999999999,0,22352.941176470587,117647.05882352941,TEF,BOL,0
